country,data
Monaco,86.5
Japan,84.6
Andorra,84.2
Singapore,84
Hong Kong,83.8
San Marino,83.5
Iceland,83.3
Italy,83.1
Australia,83
Sweden,83
Switzerland,82.8
Canada,82.5
France,82.3
Israel,82.1
Spain,82
Luxembourg,82
Norway,81.9
New Zealand,81.7
Austria,81.5
Netherlands,81.5
Ireland,81.4
Cyprus,81.2
Finland,81
Germany,81
Greece,81
South Korea,81
Malta,81
Belgium,81
United Kingdom,81
Liechtenstein,80.7
Taiwan,80.6
Portugal,80
Slovenia,80
Costa Rica,79.8
United States,79.8
Chile,79.5
Denmark,79.5
Cuba,79.4
United Arab Emirates,79.2
Brunei,79
Barbados,78.5
Kuwait,78.2
Czech Republic,78
Panama,77.8
Poland,77
Croatia,77.5
Dominica,77.5
Uruguay,77.3
Mexico,77.2
Maldives,77.2
Bahrain,77
Belize,76.9
Slovakia,76.8
Bahamas,76.5
Grenada,76.5
Brazil,76.2
Estonia,76.1
Ecuador,76
Argentina,76
Saint Vincent and the Grenadines,76
Oman,76
Bosnia and Herzegovina,76
Lithuania,75.9
Antigua and Barbuda,75.8
Malaysia,75.7
Saint Lucia,75.5
Qatar,75.5
Mauritius,75.2
Saint Kitts and Nevis,75.1
Vietnam,75
Hungary,75
Venezuela,75
Macedonia,75
Syria,75
Thailand,74.9
Trinidad and Tobago,74.8
Seychelles,74.7
Sri Lanka,74.7
Paraguay,74.7
Peru,74.7
El Salvador,74.6
Jordan,74.6
Colombia,74.6
Tonga,74.5
Cape Verde,74.5
Latvia,74.5
Nicaragua,74.5
Libya,74.5
Georgia,74.5
Tunisia,74.5
Montenegro,74.5
Bulgaria,74.5
Suriname,74.5
Turkey,74.4
Armenia,74.4
Saudi Arabia,74.3
China,74.2
Samoa,74
Lebanon,74
Palau,74
Romania,74
Honduras,74
Albania,74
Serbia,74
Jamaica,73.5
Iran,73.5
Marshall Islands,73.5
Algeria,73.3
Egypt,73.2
Dominican Republic,73.2
Fiji,73
Philippines,73
Solomon Islands,73
Nauru,73
Morocco,73
Belarus,72.5
Indonesia,72
Sao Tome and Principe,72
Vanuatu,72
Azerbaijan,71.5
Guatemala,71.5
Ukraine,71
Moldova,71
Russia,70
Bhutan,70.8
Guyana,70.5
Micronesia,70
India,70
Bangladesh,70
Kyrgyzstan,69
Iraq,69
North Korea,69
Nepal,69
Mongolia,69
Bolivia,69
Uzbekistan,68.5
Laos,68
Myanmar,68
Kazakhstan,68
Comoros,68
Kiribati,68
Tajikistan,68
Papua New Guinea,67.5
Namibia,67.2
Pakistan,67
Turkmenistan,66.5
Cambodia,66
Ghana,66
Madagascar,66
Botswana,66
Gabon,64
Yemen,64
Timor-Leste,64
Senegal,64
Haiti,63
Sudan,62
Eritrea,61.5
Cameroon,61.5
South Africa,61
Djibouti,61
Ethiopia,60.5
Kenya,60
Rwanda,60
Afghanistan,60
Mauritania,59.5
Liberia,59
Tanzania,59
Benin,59
Gambia,59
Malawi,58
Republic of the Congo,58
Togo,57
Burkina Faso,56.5
C“te d'Ivoire,56.5
Uganda,56
Niger,56
Zambia,55.5
Guinea,55
Equatorial Guinea,54
Zimbabwe,54
Burundi,53
Nigeria,53
Mozambique,52.5
Angola,52
Chad,51
Mali,51
Lesotho,51
Guinea Bissau,50
Swaziland,50
Somalia,50
Democratic Republic of the Congo,49.5
Central African Republic,48.5
Sierra Leone,47.5
